event_id,stations,network_time,ref_time,signal_type,feature_0,feature_1a,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_10,feature_11,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_24,feature_25,feature_27,feature_28,feature_29,feature_30,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_68,feature_70,feature_71
20101225T145114Z,"['2C.BB13.', '2C.BB14.', '2C.BB16.']",5.865946803,2010-12-25T14:51:14.847027Z,amplitude,1.773386308,-1.822742134,0.08225077,0.272629651,2.680332997,0.275543728,0.079092473,0.316609692,0.127799105,-0.431995346,-0.433496672,-1.805085112,0.270771531,0.956174281,2.028828915,0.61007342,1.21987925,-0.74529154,0.354824988,-1.143526562,0.057417666,0.339408394,-0.718855639,0.224864091,-1.616360179,-0.508926912,-0.86624731,-0.708912606,-0.755110285,-1.140789135,-0.882418573,-1.603109009,-0.377194982,-1.607699368,1.562409276,-0.723153111,0.684083188
20101225T145910Z,"['2C.BB15.', '2C.BB17.', '2C.BB06.']",5.865946803,2010-12-25T14:59:10.697973Z,amplitude,-0.253340901,-1.090833404,0.242400777,0.508939392,2.692660063,0.120534441,-0.124110882,0.183550577,-0.070839884,-0.372868366,-0.373959666,-2.006989319,-0.125397894,0.370733168,1.404861296,0.238218185,1.210498006,-0.686899035,0.382499957,-1.14269287,0.061519224,-0.068606776,-1.000204849,0.087691546,-0.502471819,-0.188645039,-0.883454025,-0.987551819,-0.994037182,-1.265267808,-1.134682501,-0.247683891,0.147856972,-0.251936518,1.719256702,-1.677676818,0.663298224
20101225T145952Z,"['2C.BB08.', '2C.BB13.', '2C.BB04.', '2C.BB15.', '2C.BB01.', '2C.BB17.', '2C.BB03.', '2C.BB11.', '2C.BB07.', '2C.BB14.']",5.865946803,2010-12-25T14:59:52.182027Z,amplitude,0.760022703,0.426132366,1.844046903,1.909388909,0.352725117,-0.829191483,-0.832855665,-0.837914513,-0.806221442,-0.189581642,-0.18986568,0.225416336,1.580861552,1.347242866,1.542445231,0.565633495,-1.449115466,-0.669977784,0.182371545,0.118244553,0.320308508,1.181331955,0.802522121,-0.663959558,0.276682141,-1.005856195,0.715944231,0.785761419,-0.212384165,-0.041935213,-0.238048778,-0.647875208,0.15903729,-0.646241335,0.529649447,-3.000933201,0.453051102
20101225T150208Z,"['2C.BB10.', '2C.BB04.', '2C.BB07.', '2C.BB12.', '2C.BB11.', '2C.BB13.', '2C.BB06.']",5.865946803,2010-12-25T15:02:08.547027Z,amplitude,-0.506681802,0.362007273,1.36614708,1.485981351,0.669521094,-0.76340797,-0.752189619,-0.765336508,-0.753962153,0.777802582,0.77610515,0.083231937,1.636267585,1.361989271,1.75624415,0.64416207,-1.191859945,-0.644672846,0.120344428,-0.496402368,0.219609449,1.23870147,0.960744462,-0.742797228,-0.525997561,-0.745760001,0.887081426,0.949097949,-0.043427269,0.256079779,0.281736362,0.896759734,-0.359184451,0.902144081,0.517234434,-2.274502781,-1.179171928
20101225T150446Z,"['2C.BB11.', '2C.BB07.', '2C.BB14.']",5.865946803,2010-12-25T15:04:46.592026Z,amplitude,0.760022703,-0.33674058,-0.7797002,-0.690052532,2.798551375,0.847386494,0.85705694,0.819548755,0.833837519,-0.391078877,-0.392287564,-1.635128492,0.141636067,0.701749613,1.667283729,0.422026884,1.198859962,-0.71855032,0.383004728,-1.039125048,0.133495342,0.30859053,-0.808782167,0.736952699,-0.99714474,0.037212414,-1.007851285,-0.794647751,-0.659044753,-0.860777875,-0.84292801,-1.402827661,-0.297518923,-1.408610107,1.621779765,-1.311761159,0.669250548
20101225T151020Z,"['2C.BB16.', '2C.BB17.', '2C.BB13.']",5.865946803,2010-12-25T15:10:20.707027Z,amplitude,0,-0.704702682,1.420642558,1.786503812,-0.521124641,-0.867289048,-0.877025682,-0.847601084,-0.858473716,-0.39176508,-0.39297834,-0.519956746,0.741799812,0.656735205,1.269023899,0.189286852,0.361483162,-0.683105832,0.379032585,-0.51371577,0.097179369,0.806767688,0.121504283,-0.256047323,-0.990479189,-0.261221887,0.042200296,0.110819662,-0.394540922,-0.776347106,-0.468212799,-0.779869033,0.112915498,-0.784204203,0.995907894,-0.378957074,0.641776436
20101225T151126Z,"['2C.BB11.', '2C.BB16.', '2C.BB17.', '2C.BB07.', '2C.BB01.', '2C.BB03.']",5.865946803,2010-12-25T15:11:26.322974Z,amplitude,1.013363604,0.177102809,1.52618185,1.668003764,0.297384726,-0.732257802,-0.76718419,-0.710842303,-0.748879774,-0.300255374,-0.300950502,0.057946811,1.119053358,0.787020575,1.210417516,0.30519315,-0.506782922,-0.664498746,0.570685191,-0.885768816,-0.010165185,0.815128942,0.5487669,-0.191334514,0.625406262,-0.416372642,0.327114643,0.535114844,0.236389549,-0.123930574,0.327270467,-0.828150892,-0.059214083,-0.819425136,1.100751322,-1.835468993,0.552034817
20101225T151300Z,"['2C.BB04.', '2C.BB17.', '2C.BB06.', '2C.BB10.', '2C.BB08.']",5.865946803,2010-12-25T15:13:00.282027Z,amplitude,0.506681802,0.163925775,1.373743251,1.615686525,-0.527263101,-0.607379097,-0.617795952,-0.598423321,-0.58281034,-0.108553564,-0.108659597,-0.148166196,0.927476177,0.672755967,1.191214981,0.211122055,-0.617303399,-0.532108658,0.614411443,-0.381169161,0.871142802,0.842833937,0.289578771,-0.120251875,-1.033755704,-0.57663547,0.087499934,0.282622978,-0.051681507,-0.452415898,-0.189904359,-0.397225843,0.48963251,-0.400202824,1.276278401,-2.771453029,0.536040638
20101225T151407Z,"['2C.BB13.', '2C.BB12.', '2C.BB16.', '2C.BB07.', '2C.BB01.', '2C.BB04.', '2C.BB10.']",5.865946803,2010-12-25T15:14:07.467027Z,amplitude,-0.253340901,0.654211787,1.238742785,1.069014401,0.513831746,-0.757755494,-0.684847828,-0.789390832,-0.711919967,0.578510623,0.577500826,0.084537844,1.214849641,0.869671655,1.095957412,0.320569877,-1.0668998,-0.580981244,0.181402204,-0.170905134,-0.277628216,0.843798975,0.685588664,-0.348062351,-0.283637558,-0.706338691,0.350194486,0.682107612,0.27451413,0.713274463,0.514847643,-0.608668704,-0.381849067,-0.596784349,0.665406697,-3.059175812,-0.308292452
20101225T151558Z,"['2C.BB08.', '2C.BB15.', '2C.BB17.', '2C.BB12.']",5.865946803,2010-12-25T15:15:58.112026Z,amplitude,-0.506681802,-0.243263471,0.821823512,1.086778168,-0.106975435,-0.452354405,-0.423330695,-0.461710364,-0.42158624,-0.332359274,-0.333215952,-0.385593451,0.868078824,0.715429157,1.177601544,0.208558036,0.001585074,-0.484200184,0.188009458,-0.4453749,0.143502227,0.959751715,0.201226802,0.021279149,-0.590998089,-0.371259059,-0.175020402,0.198298503,0.009921971,-0.139494905,-0.108409858,-0.757980158,0.154095323,-0.761556882,1.268106797,-0.784998622,0.673494322
