event_id,stations,ref_time,ref_duration,ref_amplitude,known_seismicity_labels
20101216T004755Z,"['2C.BB12.', '2C.BB10.', '2C.BB07.']",2010-12-16T00:47:55.267027Z,1.845947,417.2408488,
20101216T005346Z,"['2C.BB12.', '2C.BB01.', '2C.BB10.']",2010-12-16T00:53:46.887027Z,8.510947,399.7942301,
20101216T005603Z,"['2C.BB01.', '2C.BB10.', '2C.BB12.']",2010-12-16T00:56:03.727027Z,20.605947,447.8616597,
20101216T012406Z,"['2C.BB01.', '2C.BB07.', '2C.BB10.', '2C.BB12.']",2010-12-16T01:24:06.522027Z,73.300946,767.654963,
20101216T013549Z,"['2C.BB07.', '2C.BB10.', '2C.BB12.']",2010-12-16T01:35:49.252973Z,13.335,461.2203095,
20101216T015547Z,"['2C.BB10.', '2C.BB12.', '2C.BB14.']",2010-12-16T01:55:47.567027Z,83.045947,634.1067194,
20101216T020059Z,"['2C.BB07.', '2C.BB06.', '2C.BB10.']",2010-12-16T02:00:59.237026Z,74.885947,891.357401,
20101216T020629Z,"['2C.BB06.', '2C.BB07.', '2C.BB12.']",2010-12-16T02:06:29.327027Z,8.755947,507.3049418,
20101216T021948Z,"['2C.BB12.', '2C.BB10.', '2C.BB03.']",2010-12-16T02:19:48.647027Z,21.355947,865.8585596,TELESEISM II
20101216T025759Z,"['2C.BB01.', '2C.BB10.', '2C.BB03.']",2010-12-16T02:57:59.067973Z,18.645,568.9648049,
20101216T072346Z,"['2C.BB03.', '2C.BB17.', '2C.BB07.', '2C.BB01.', '2C.BB13.', '2C.BB16.', '2C.BB10.', '2C.BB08.', '2C.BB12.']",2010-12-16T07:23:46.327027Z,32.860947,2205.330051,TELESEISM II
20101216T093306Z,"['2C.BB16.', '2C.BB08.', '2C.BB01.']",2010-12-16T09:33:06.907973Z,2.01,301.759123,
20101216T133442Z,"['2C.BB13.', '2C.BB16.', '2C.BB01.', '2C.BB08.', '2C.BB07.', '2C.BB12.', '2C.BB15.', '2C.BB17.', '2C.BB11.', '2C.BB03.', '2C.BB06.', '2C.BB14.', '2C.BB10.', '2C.BB04.']",2010-12-16T13:34:42.847027Z,334.900947,186248.6242,"STICK-SLIP, PRATT14"
20101216T134359Z,"['2C.BB10.', '2C.BB04.', '2C.BB03.', '2C.BB14.', '2C.BB07.', '2C.BB01.']",2010-12-16T13:43:59.707027Z,125.720947,51210.32014,"STICK-SLIP, PRATT14"
20101216T214545Z,"['2C.BB07.', '2C.BB10.', '2C.BB08.']",2010-12-16T21:45:45.642027Z,167.865947,2648.435916,
20101216T235027Z,"['2C.BB07.', '2C.BB12.', '2C.BB06.', '2C.BB01.']",2010-12-16T23:50:27.492026Z,60.955947,1704.1944,
20101217T004246Z,"['2C.BB08.', '2C.BB10.', '2C.BB14.', '2C.BB12.']",2010-12-17T00:42:46.357027Z,165.975947,4540.947026,
20101217T005117Z,"['2C.BB10.', '2C.BB12.', '2C.BB07.']",2010-12-17T00:51:17.732027Z,33.335947,601.9908608,
20101217T010709Z,"['2C.BB06.', '2C.BB12.', '2C.BB07.', '2C.BB10.']",2010-12-17T01:07:09.672027Z,249.140947,4421.817075,
20101217T011244Z,"['2C.BB06.', '2C.BB10.', '2C.BB07.']",2010-12-17T01:12:44.007027Z,0.970947,222.8350458,
20101217T011711Z,"['2C.BB06.', '2C.BB10.', '2C.BB07.', '2C.BB16.', '2C.BB12.']",2010-12-17T01:17:11.867973Z,256.84,4523.478028,
20101217T013125Z,"['2C.BB10.', '2C.BB12.', '2C.BB07.', '2C.BB16.']",2010-12-17T01:31:25.472027Z,82.210947,1238.056001,
20101217T015020Z,"['2C.BB03.', '2C.BB01.', '2C.BB07.']",2010-12-17T01:50:20.522027Z,58.705947,1276.016667,
20101217T022317Z,"['2C.BB14.', '2C.BB12.', '2C.BB07.']",2010-12-17T02:23:17.452027Z,2.110947,338.0581465,
20101217T025446Z,"['2C.BB15.', '2C.BB06.', '2C.BB07.']",2010-12-17T02:54:46.162027Z,43.955947,831.533789,
20101217T025914Z,"['2C.BB10.', '2C.BB06.', '2C.BB14.']",2010-12-17T02:59:14.817027Z,29.515946,462.7000402,
20101217T030721Z,"['2C.BB14.', '2C.BB10.', '2C.BB07.']",2010-12-17T03:07:21.202027Z,110.735947,1220.454569,
20101217T033955Z,"['2C.BB07.', '2C.BB03.', '2C.BB10.']",2010-12-17T03:39:55.597027Z,15.400947,535.3087853,
20101217T035812Z,"['2C.BB06.', '2C.BB12.', '2C.BB03.']",2010-12-17T03:58:12.552026Z,19.555947,603.0835511,
20101217T041250Z,"['2C.BB06.', '2C.BB07.', '2C.BB03.', '2C.BB12.']",2010-12-17T04:12:50.182973Z,17.02,538.0870523,
20101217T043215Z,"['2C.BB06.', '2C.BB16.', '2C.BB07.']",2010-12-17T04:32:15.282974Z,2.095,360.2350126,
20101217T044142Z,"['2C.BB10.', '2C.BB15.', '2C.BB03.']",2010-12-17T04:41:42.872026Z,5.725947,355.5065987,
20101217T044502Z,"['2C.BB06.', '2C.BB12.', '2C.BB07.']",2010-12-17T04:45:02.572973Z,3.885,406.4740538,
