event_id,stations,network_time,ref_time,ref_duration,ref_amplitude,ref_energy,signal_type
20101216T004755Z,"['2C.BB12.', '2C.BB10.', '2C.BB07.']",5.86594680276,2010-12-16T00:47:55.267027Z,1.845947,417.240848832,104491.061536,amplitude
20101216T005346Z,"['2C.BB12.', '2C.BB01.', '2C.BB10.']",5.86594680276,2010-12-16T00:53:46.887027Z,8.510947,399.794230137,534542.531288,amplitude
20101216T005603Z,"['2C.BB01.', '2C.BB10.', '2C.BB12.']",5.86594680276,2010-12-16T00:56:03.727027Z,20.605947,447.861659682,1366438.81043,amplitude
20101216T012406Z,"['2C.BB01.', '2C.BB07.', '2C.BB10.', '2C.BB12.']",5.86594680276,2010-12-16T01:24:06.522027Z,73.300946,767.654963032,10660852.5372,amplitude
20101216T013549Z,"['2C.BB07.', '2C.BB10.', '2C.BB12.']",5.86594680276,2010-12-16T01:35:49.252973Z,13.335,461.220309531,889523.58199,amplitude
20101216T015547Z,"['2C.BB10.', '2C.BB12.', '2C.BB14.']",5.86594680276,2010-12-16T01:55:47.567027Z,83.045947,634.106719378,5838333.92518,amplitude
20101216T020059Z,"['2C.BB07.', '2C.BB06.', '2C.BB10.']",5.86594680276,2010-12-16T02:00:59.237026Z,74.885947,891.357400963,8437249.42882,amplitude
20101216T020629Z,"['2C.BB06.', '2C.BB07.', '2C.BB12.']",5.86594680276,2010-12-16T02:06:29.327027Z,8.755947,507.304941808,900221.050173,amplitude
20101216T021948Z,"['2C.BB12.', '2C.BB10.', '2C.BB03.']",5.86594680276,2010-12-16T02:19:48.647027Z,21.355947,865.85855959,2972126.23943,amplitude
20101216T025759Z,"['2C.BB01.', '2C.BB10.', '2C.BB03.']",5.86594680276,2010-12-16T02:57:59.067973Z,18.645,568.96480485,1246531.9742,amplitude
20101216T072346Z,"['2C.BB03.', '2C.BB17.', '2C.BB07.', '2C.BB01.', '2C.BB13.', '2C.BB16.', '2C.BB10.', '2C.BB08.', '2C.BB12.']",5.86594680276,2010-12-16T07:23:46.327027Z,32.860947,2205.33005126,5759524.04358,amplitude
